fixture_id,team_id,team_name,player_id,player_name,minutes_played,rating,goals,assists,shots_total,shots_on,passes_total,passes_accuracy,tackles,duels_total,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red
1044888,111,LE Havre,2336,Loic NÃ©go,70.0,6.5,0,0,1,0,21,19,2,8,3,1,0,0,0,0
1044888,111,LE Havre,20576,Yoann Salmier,90.0,7.2,0,1,1,1,26,18,1,6,3,0,0,1,0,0
1044888,111,LE Havre,174927,Arouna Sangante,90.0,6.5,0,0,0,0,28,20,0,7,3,0,2,1,1,0
1044888,111,LE Havre,64255,Gautier Lloris,90.0,7.3,1,0,1,1,32,24,3,12,5,0,0,4,0,0
1044888,111,LE Havre,174915,JosuÃ© Casimir,90.0,6.6,0,1,0,0,30,21,0,9,4,2,0,1,0,0
1044888,111,LE Havre,128342,Rassoul Ndiaye,70.0,6.3,0,0,1,0,21,13,2,7,3,0,0,1,0,0
1044888,111,LE Havre,284071,Oussama Targhalline,90.0,7.3,0,0,1,0,54,46,2,6,4,1,1,1,1,0
1044888,111,LE Havre,1212,Daler Kuzyaev,86.0,6.3,0,0,1,0,38,27,0,7,3,0,1,0,0,0
1044888,111,LE Havre,156465,Issa SoumarÃ©,61.0,6.9,0,0,2,0,14,6,0,17,9,1,3,0,0,0
1044888,111,LE Havre,8681,Nabil Alioui,61.0,6.9,0,0,0,0,11,6,0,4,2,0,0,0,0,0
1044888,111,LE Havre,289304,Antoine Joujou,29.0,6.7,0,0,0,0,16,13,0,5,2,2,0,1,0,0
1044888,111,LE Havre,339633,Andy Logbo,29.0,6.7,0,0,0,0,5,5,0,3,1,1,0,1,0,0
1044888,111,LE Havre,174937,Yassine Kechta,20.0,6.6,0,0,1,0,19,15,1,2,1,0,0,0,0,0
1044888,111,LE Havre,22266,Samuel Grandsir,20.0,7.6,1,0,1,1,20,18,1,6,3,1,1,1,0,0
1044888,111,LE Havre,21103,Abdoulaye TourÃ©,12.0,6.6,0,0,1,1,4,4,0,1,0,0,0,0,0,0
1044888,111,LE Havre,646,Mathieu Gorgelin,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044888,111,LE Havre,162443,Ã‰tienne Youte Kinkoue,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044888,111,LE Havre,22009,Nolan Mbemba,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044888,111,LE Havre,24201,Alois Confais,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044887,83,Nantes,30393,Alban Lafont,67.0,7.2,0,0,0,0,27,20,0,0,0,0,0,0,0,0
1044887,83,Nantes,343359,Nathan Zeze,90.0,6.2,0,0,0,0,33,27,0,9,3,0,1,3,0,0
1044887,83,Nantes,99,RonaÃ«l Pierre-Gabriel,90.0,6.2,0,0,0,0,47,40,0,5,2,0,1,1,0,0
1044887,83,Nantes,21088,Nicolas Pallois,90.0,6.5,0,0,0,0,42,35,1,7,3,0,2,1,1,0
1044887,83,Nantes,21498,Marcus Coco,60.0,6.9,0,0,0,0,16,15,4,10,6,1,1,1,1,0
1044887,83,Nantes,21101,Samuel Moutoussamy,68.0,7.2,0,0,0,0,10,8,0,4,2,0,2,1,0,0
1044887,83,Nantes,93671,Pedro Chirivella,90.0,6.9,0,0,0,0,77,65,1,5,2,0,1,1,0,0
